region,subject,Заработная плата,Рентабельность продаж,Дебиторская задолженность,Кредиторская задолженность,Просроченная дебиторская задолженность,Просроченная кредиторская задолженность,Ввод в эксплуатацию жилья
Гродненская область,Гродненская область,681.4,6.6,210210887.9,297746109.8,47514843.8,42919634.2,507792
Гродненская область,г. Гродно,802.7,5.7,116160171.2,126665528.5,27174967.9,14337788.4,198307
Гродненская область,Лидский,637.6,7.1,19710627.8,25266151.9,5747877.5,6607862.1,70133
Гродненская область,Островецкий,680.2,3.8,12841210.9,15624422.6,225405.7,475427.7,63528
Гродненская область,Гродненский,801.1,12.7,10867164.9,19738625.4,2709230.2,3076766.7,44491
Гродненская область,Волковысский,657.4,7.1,10676877.4,16462801.9,3740866.7,2899751.6,13710
Гродненская область,Сморгонский,635.3,9.1,8043265.9,19313469.2,1335381,1476875.5,15374
Гомельская область,Гомельская область,694.1,7,6333475,9930474,1601269,1920768,495487
Гродненская область,Слонимский,591.1,7.1,6235684.9,10984328.2,2149902.2,3371085.9,38929
Гродненская область,Щучинский,578.4,8.6,5905669.2,8286826.6,934904.5,1766683.3,7947
Гродненская область,Новогрудский,567.2,10.6,4906459.6,8200871.1,606477.1,1448483.3,8841
Брестская область,Брестская область,702.8,7,4876273,6703260,1179042,1403826,694570
Витебская область,Витебская область,669,5.5,4707554,7895547,1353216,1660906,304662
Гродненская область,Ошмянский,613.1,10,4017385.7,6334149.8,898690.4,895650.8,16703
Гомельская область,г. Гомель,756,9.4,3657291,3440097,1072503,490553,214784
Гродненская область,Дятловский,556.5,7.2,3022934.7,7745955.8,575520.2,1224978.2,2037
Гродненская область,Мостовский,537.2,1.1,2681125.4,8230365.6,365215,1866953.4,8674
Витебская область,г. Витебск,740.7,8.2,2472326,2500338,965852,408791,116894
Брестская область,г. Брест,841.2,5,2212229,2311039,602034,374504,225344
Гродненская область,Кореличский,538.6,8.5,1559044.5,5309949.1,346620.6,518403.7,6329
Гродненская область,Берестовицкий,634.3,7.4,1039619.5,2849031.3,160002.1,564502.8,1955
Витебская область,г. Новополоцк,903.7,1.7,819009,1167946,52089,51439,25742
Гродненская область,Ивьевский,525.4,2,802216.4,6206023.1,135507.1,1200335.3,2505
Гомельская область,Мозырский,757.9,5.1,779632,1023244,94186,77597,80750
Гродненская область,Зельвенский,522.1,4.1,662692.5,3109189.5,205063.7,310138.4,1794
Гродненская область,Вороновский,499.1,7.3,612048.4,4500211.3,117065.1,296335.9,3806
Брестская область,г. Барановичи,731.8,14.3,587515,1008146,66448,129602,90022
Витебская область,Оршанский,635.2,9.1,502365,995003,128953,278817,26268
Гомельская область,Жлобинский,681.5,2.7,472249,1875028,88037,528947,24020
Гродненская область,Свислочский,512.9,-3.5,466688.9,2918209.1,86146.6,581611.4,2729
Брестская область,Березовский,704.6,10,380565,302289,147080,90948,33505
Брестская область,г. Пинск,693,5.5,378315,409984,78191,100859,64249
Гомельская область,Калинковичский,613.1,8.8,258955,307087,111295,102343,24905
Гомельская область,Речицкий,814,4.9,240433,495858,36894,73444,21503
Витебская область,Полоцкий,673.3,7,210069,410089,46965,89541,24506
Брестская область,Кобринский,634.2,12.5,179971,225898,26512,46057,50140
Гомельская область,Рогачевский,619.7,10.5,175054,278505,16869,77806,4986
Брестская область,Каменецкий,650.6,7.4,174305,240100,10915,39373,13192
Витебская область,Глубокский,581.3,9.4,166920,463973,26259,80645,14627
Гомельская область,Гомельский,656.4,3.9,158075,417782,58144,113720,46870
Гомельская область,Светлогорский,715.6,4.2,154085,601305,19949,126422,24653
Витебская область,Лепельский,588.2,7.1,129736,217659,7702,27097,14674
Брестская область,Пружанский,624.8,6.7,116034,171776,11097,32740,12490
Брестская область,Лунинецкий,651.8,10.7,110457,176708,55601,51072,23648
Гомельская область,Житковичский,584.9,6.4,103267,151547,24886,37178,10274
Гомельская область,Добрушский,543.1,5.1,101961,373226,16994,33227,6820
Брестская область,Жабинковский,815.2,13.8,99535,264083,26287,45211,14111
Брестская область,Брестский,640.2,6.2,93502,240622,20329,98197,52256
Брестская область,Ивацевичский,619.9,5.1,87426,170916,20084,38442,17672
Брестская область,Ивановский,584.7,9.2,83978,100432,26562,39455,10929
Брестская область,Малоритский,556.8,-4.2,82509,253565,8307,61802,6730
Витебская область,Витебский,643.6,5.7,78376,221665,32632,92782,21252
Брестская область,Столинский,555.5,3.6,60752,166454,14432,44918,27178
Брестская область,Пинский,557.6,6.1,58583,186158,12317,56017,26320
Брестская область,Дрогичинский,521.9,4.3,56835,184990,16372,69194,8941
Брестская область,Барановичский,635.7,5.7,56211,147004,18438,42044,6589
Витебская область,Поставский,590.8,7.3,56120,195749,8479,54554,11542
Гомельская область,Буда-Кошелевский,588.4,6.7,49332,174746,12500,55474,1546
Витебская область,Верхнедвинский,676.7,10.4,43664,122593,7016,39176,1063
Брестская область,Ляховичский,592.8,8.1,37863,76103,6892,18314,4942
Витебская область,Миорский,467.8,3.1,36241,174611,20125,72430,3499
Витебская область,Толочинский,569.1,11.4,34339,154719,6241,36753,2841
Витебская область,Чашникский,655.7,5,30950,98663,12170,30133,4406
Гомельская область,Октябрьский,505.2,4,29012,75486,5126,23573,1743
Гомельская область,Петриковский,538.4,6.5,28946,116964,10057,28729,3629
Гомельская область,Лельчицкий,523.5,1.7,27715,96883,5198,32065,9878
Витебская область,Городокский,527.6,-6.3,21632,191292,8062,81737,4580
Брестская область,Ганцевичский,538.3,1.3,19688,66993,11144,25077,6312
Витебская область,Браславский,511.5,6.4,17175,119946,5641,33204,6148
Гомельская область,Чечерский,526.4,5,16265,62030,7109,18742,5018
Гомельская область,Ельский,519.6,0.6,15528,49459,3631,12160,2738
Гомельская область,Ветковский,534.3,6.3,13927,76174,1769,8185,3373
Гомельская область,Хойникский,524,3.1,13802,75790,6029,24328,5298
Витебская область,Шумилинский,514.7,-3.8,13419,121275,5266,61284,2777
Минск,г. Минск,1151.8,9.1,12020.6,12636.1,2863.2,1152.5,777.2
Витебская область,Лиозненский,517.1,-0.7,11223,94810,1433,18678,3695
Гомельская область,Наровлянский,546.1,-1.2,11073,33027,3541,9819,751
Витебская область,Дубровенский,565.1,1.5,10900,83258,3592,23951,601
Витебская область,Бешенковичский,493.2,-4,10629,88997,2550,29427,3814
Витебская область,Докшицкий,523.7,4.1,10264,117253,2596,20825,7240
Минская область,Минская область,803.5,8.6,10225.6,11918.4,2197.8,2894,1183489
Гомельская область,Лоевский,470.9,-3.7,10129,73203,3987,29543,985
Витебская область,Сенненский,486.3,-1.7,9989,137494,2705,30034,1259
Гомельская область,Брагинский,512.4,0.1,9692,68607,2259,12644,371
Витебская область,Шарковщинский,440.6,1.5,9476,88867,2632,36274,587
Гомельская область,Кормянский,490.2,1.6,7052,64429,308,4269,592
Витебская область,Ушачский,482,5.6,6692,87101,2917,49311,3913
Витебская область,Россонский,539.6,1.9,6040,42247,1343,14022,2734
Могилевская область,Могилевская область,666,5.3,4401.9,7041.4,1304.1,1654.7,322524
Минская область,Минский,977.1,7.6,2573.5,2969.6,628,584,541880
Могилевская область,г. Могилев,755.8,4.5,2349.3,2433.7,641.6,522,144139
Минская область,г. Жодино,824.4,22,1814.3,355.8,172.8,111.2,35636
Минская область,Солигорский,1293.5,10.4,1608.3,1329,458.6,234.4,85979
Минская область,Борисовский,684.8,6.7,1000.6,1066.2,148.2,362.6,43288
Могилевская область,г. Бобруйск,684,3.3,969.3,824,283.2,224.4,43531
Минская область,Дзержинский,847.9,5.3,733.1,1216,66.7,64.1,89423
Минская область,Слуцкий,662.5,9.9,439.2,706.8,135,218.5,17207
Минская область,Пуховичский,691.1,12.2,394.3,428.1,148.2,90,39900
Минская область,Молодечненский,685.3,5.6,390.3,515.6,90.1,163.5,53942
Минская область,Несвижский,741.6,11.1,308.2,547.9,32.3,113.3,19274
Минская область,Смолевичский,774,8,270.8,524.1,57.9,94.6,68421
Могилевская область,Костюковичский,628.5,8,202.8,554.1,88.2,92.1,5530
Могилевская область,Могилевский,665.8,14.4,172.5,452.2,41.9,121,40697
Могилевская область,Климовичский,572,7.1,122.7,155.5,28.4,50.3,8851
Могилевская область,Кричевский,597.3,7.4,120.8,555.7,91.1,71.8,5450
Могилевская область,Шкловский,619.9,3.2,99.1,306.8,21.8,102.9,11002
Минская область,Логойский,705.4,20.2,92.9,155.6,25.2,57.5,40888
Минская область,Червенский,590.8,-1,89.4,167.1,18.5,55.8,13472
Минская область,Вилейский,612,2.4,78.7,210.7,39,92.7,21042
Минская область,Столбцовский,650.3,5.5,77.4,241.9,29.7,78.1,16851
Могилевская область,Осиповичский,664.5,4.1,75.1,351.9,13.1,136.4,6069
Минская область,Воложинский,603.1,4.6,68.2,213.8,30.8,89.6,18171
Могилевская область,Быховский,547.8,3.7,60.3,220.2,16.9,99.2,7209
Минская область,Клецкий,591.4,3.1,54,152.2,27.8,62.7,8534
Могилевская область,Горецкий,601.3,5.2,45.4,155.8,11.2,45.8,6173
Минская область,Копыльский,555.4,0,42,222.3,21.4,88.7,3764
Минская область,Любанский,554.2,-0.9,37.8,223.9,16,74.9,7365
Минская область,Крупский,587.9,-5.3,36.6,192.5,17.7,97.7,9994
Могилевская область,Круглянский,604.7,4.8,34.6,80.7,18.8,10.1,4220
Минская область,Стародорожский,588.6,9.5,33.9,112.1,4.8,21.7,8512
Минская область,Мядельский,678,1.4,31.3,118.1,9.1,41.1,10227
Минская область,Узденский,624.1,5,29.3,133.6,11.5,53.5,20690
Могилевская область,Белыничский,621.7,4.4,23.9,78.1,6.2,18.4,4164
Минская область,Березинский,579.9,-0.9,21.6,115.6,8.2,43.7,9029
Могилевская область,Мстиславский,494.2,3,20.2,159.6,8.2,23.1,3887
Могилевская область,Чаусский,535.6,2.9,18.8,104.7,4.6,16.6,4958
Могилевская область,Бобруйский,523.7,-7.5,16.7,72.6,6.3,13.2,4233
Могилевская область,Кличевский,516.3,6,14.2,69,4.8,18.5,3049
Могилевская область,Кировский,510,6.1,10.6,85,3,19.8,2414
Могилевская область,Хотимский,507.2,-7,10.5,85.2,4,10,2903
Могилевская область,Глусский,518.6,3.1,9.5,68.1,4.1,30.2,872
Могилевская область,Чериковский,560.6,4.1,7.8,54.4,1.9,3.1,4228
Могилевская область,Славгородский,535.8,1.5,7.3,72.4,2.9,14.2,5649
Могилевская область,Дрибинский,538.4,2.9,5.3,65.4,0.9,8,512
Могилевская область,Краснопольский,520.1,4.2,5.2,35.8,1.2,2.9,2784
