region	subject	Рентабельность продаж, %	Чистая прибыль, млн	Розничный товарооборот, млн	Дебиторская задолженность, млн	Кредиторская задолженность, млн	Заработная плата, руб	Ввод в эксплуатацию жилья, м2	Импорт товаров, USD тыс	Экспорт товаров, USD тыс
Брестская область	Барановичский	5.2	15.26	4	27.329	67.873	578	507	22024.5	38797.3
Могилевская область	Белыничский	4.3	5.8	3	12.4	38.4	592.5	517	876.6	2749.5
Минская область	Березинский	-2	1.6	4.6	11.8	60.6	547.2	970	1509.2	4401.5
Брестская область	Березовский	9.7	39.38	13.1	188.05	147.431	621.1	5831	35881	165634.1
Гродненская область	Берестовицкий	7.3	6.4	4.1	10.4	21.7	576.1	0	406.2	1065.5
Витебская область	Бешенковичский	-3.6	-0.048	2.8	5.091	52.098	479	272	13585.3	1457.3
Могилевская область	Бобруйский	-7.4	-1	1.8	8.3	46.6	480	90	3216.9	2400.9
Минская область	Борисовский	6.4	-0.4	47.1	548.2	601.2	617.7	19073	234187.7	341410.9
Гомельская область	Брагинский	-0.6	2.468	2	5.404	37.403	501.5	28	27478.6	344.2
Витебская область	Браславский	4.7	1.675	6.3	9.891	63.106	484.6	3880	829.4	1227.9
Брестская область	Брестская область	6.7	560.638	329.2	2368.738	3349.139	608.7	86078	1392432.8	1879646.2
Брестская область	Брестский	5.5	5.346	4.8	44.278	116.818	586.7	2285	64893.4	69041.5
Гомельская область	Буда-Кошелевский	5.8	20.225	3.6	29.278	93.389	554.3	350	14444.7	32494.2
Могилевская область	Быховский	3.1	5.8	5.1	26.5	105.9	510.3	155	9205.9	3762.5
Витебская область	Верхнедвинский	9	6.917	3.7	21.429	64.144	561	437	4479.3	32538.1
Гомельская область	Ветковский	6.5	4.031	1.9	6.637	46.225	503.9	302	2483	16.7
Минская область	Вилейский	-0.9	0.6	8.1	43	116.4	564.9	4198	5480	17480.7
Витебская область	Витебская область	4.2	193.209	297.6	2614.378	4463.022	611.5	42045	2327959	1574482.7
Витебская область	Витебский	4.9	10.647	4	42.354	112.507	594.3	1957	12839.2	27408.7
Гродненская область	Волковысский	7	-12.4	18.4	101.1	319.9	577.1	675	43469.1	86689.2
Минская область	Воложинский	4.1	-2.2	5.2	34	113.8	547	1638	5613	4079.1
Гродненская область	Вороновский	7.5	5.9	4.5	6	46.9	479.9	62	526.9	1195.4
Брестская область	г. Барановичи	13.3	128.289	53.9	263.108	569.406	629.7	20904	119334.6	100146.2
Могилевская область	г. Бобруйск	3.1	-42.5	54.5	446.4	463	615.3	11561	293625	387154.8
Брестская область	г. Брест	4.7	197.81	119.2	1066.904	1084.991	699.2	17664	838128.1	849197
Витебская область	г. Витебск	6	192.709	113	1456.052	1351.508	664.2	25276	518999	590522.8
Гомельская область	г. Гомель	9.4	503.491	144.6	2002.144	1819.402	693.5	9253	800388.6	1484935.5
Гродненская область	г. Гродно	5.6	62.8	121.2	1398	1560.8	705.6	20276	644897	754710.1
Минская область	г. Жодино	22	8.5	15.9	943.6	220.8	790.1	6529	217718.4	443267.1
Минск	г. Минск	9	1653.3	823.2	11425.1	12668.4	1027.6	17900	10810.4	8143.5
Могилевская область	г. Могилев	4.5	136.3	107.8	1203.1	1261.9	687.5	12526	550859.9	937045.5
Витебская область	г. Новополоцк	1.2	36.472	28.7	442.248	751.09	820.5	14	1500621.1	486405.8
Брестская область	г. Пинск	5.4	8.331	37.9	187.893	202.706	582.7	5949	96200.3	168473.6
Брестская область	Ганцевичский	0.3	0.829	4.3	9.29	32.845	482	530	959.4	4713
Витебская область	Глубокский	7.8	-2.81	7.5	86.571	301.2	547.7	832	4371.3	44897.1
Могилевская область	Глусский	0.2	0.4	2	5.3	41.1	496.6	1034	276.5	1816.1
Гомельская область	Гомельская область	7	838.499	318.1	3445.137	5291.357	646.1	64785	3188695	2955882.7
Гомельская область	Гомельский	3.8	19.285	7.3	90.653	212.063	619	4504	10441	19970.7
Могилевская область	Горецкий	4.5	5.4	8.5	23.5	77.6	545.4	1657	7886.2	33943.2
Витебская область	Городокский	-6.1	-13.797	3.4	10.388	107.435	506.5	483	2285	9928.5
Гродненская область	Гродненская область	6.4	173.2	275.1	2481.5	3636.1	606.6	28771	1354230.8	1627323.6
Гродненская область	Гродненский	12.6	41.4	10.7	118.6	230.8	630	2034	76465.4	92009.4
Минская область	Дзержинский	5.8	32.2	15.1	238.4	527.3	751.4	6771	230295.1	152304.1
Гомельская область	Добрушский	4.8	6.772	5.3	50.781	195.434	509.8	445	78102.6	17917
Витебская область	Докшицкий	3.5	0.758	3.8	5.269	67.719	495	621	815.1	3357.9
Могилевская область	Дрибинский	2.7	2.7	1.4	2.3	33.9	508	0	71.5	1123.6
Брестская область	Дрогичинский	2.6	0.84	5.6	25.131	95.028	497.1	1040	3254	2583.6
Витебская область	Дубровенский	-4.2	-2.668	2.6	5.457	53.259	532.7	274	2680.7	3160.1
Гродненская область	Дятловский	6.9	3.2	4	26.2	64.1	499.8	23	4009.4	22521.3
Гомельская область	Ельский	-0.4	3.648	3	7.287	27.768	500.1	173	2165.4	1680.1
Брестская область	Жабинковский	13.7	7.599	4	44.364	117.169	589.7	1106	34109.1	35961.3
Гомельская область	Житковичский	6.4	8.006	6.4	65.952	83.48	516.9	1136	5424.7	34782.3
Гомельская область	Жлобинский	2.3	8.182	24.6	281.22	1062.468	671.8	13520	408873.4	759190
Гродненская область	Зельвенский	3.8	2.64	2.8	4.4	28.4	475.4	56	869.1	126.8
Брестская область	Ивановский	9.3	9.433	6	41.686	48.32	526.7	1568	5818.8	26791.4
Брестская область	Ивацевичский	5.2	10.416	9.3	42.595	85.962	557.6	2483	15671.2	37775.4
Гродненская область	Ивьевский	0.5	5.6	3.4	17.3	126.5	489.4	169	11800.2	14849
Гомельская область	Калинковичский	9.5	2.944	12.7	146.92	166.919	571.9	5347	23527.5	109445.3
Брестская область	Каменецкий	7.5	23.295	5	104	137.352	588.6	980	34665.2	56421.1
Могилевская область	Кировский	3.9	4.3	3	4.9	39.1	492.7	76	691.6	2108.3
Минская область	Клецкий	3.4	1.7	4.2	30.1	80.2	570.7	135	2035.3	7208.7
Могилевская область	Климовичский	6.7	2	4.7	75.3	89.4	537.4	445	2506	8382
Могилевская область	Кличевский	6	3.5	2.6	6.6	34.1	518.3	0	333.8	4629.9
Брестская область	Кобринский	12.8	57.461	18.4	106.056	132.739	618.5	6374	64212.1	122429.7
Минская область	Копыльский	-1.6	0.4	3.4	20.1	117.5	527.2	328	2591.1	1203.6
Гродненская область	Кореличский	6.9	7.1	3.2	12.3	53.2	495.4	77	3836.1	4420.6
Гомельская область	Кормянский	2.3	0.396	1.8	3.83	35.646	465.3	200	5.7	73.2
Могилевская область	Костюковичский	7.6	-9.6	4.4	99.2	336.6	578	6	30907.5	30106.7
Могилевская область	Краснопольский	3.1	0.3	1.6	2.2	17.7	501.8	89	114.9	1120.2
Могилевская область	Кричевский	6.8	-22.6	6.7	58.4	341.3	554.4	288	4818.8	23359.5
Могилевская область	Круглянский	5.6	2.6	2.5	18.5	38.1	540.5	174	1059.3	1764.1
Минская область	Крупский	-5.6	-10.3	4.2	19.3	105.6	622.5	386	1467.8	6961.2
Гомельская область	Лельчицкий	1.8	-1.939	4	10.717	44.944	481.4	1095	1500.2	3690.1
Витебская область	Лепельский	5.3	-6.661	7.2	68.835	157.421	538.5	716	5145.8	23509.7
Гродненская область	Лидский	6.8	-7.6	38.1	178.6	308.5	573.5	885	108684.1	264845.5
Витебская область	Лиозненский	-0.4	-1.163	2.7	6.48	49.522	467.8	119	234.2	1726.3
Минская область	Логойский	19.6	47.8	5.9	54.6	81.7	659.5	7474	59255.4	26452.2
Гомельская область	Лоевский	-4.9	-0.557	1.5	5.516	38.348	472.6	2	196.7	1557.5
Брестская область	Лунинецкий	9.8	16.774	12.3	50.363	89.721	560.5	2282	15808.1	78890
Минская область	Любанский	-0.8	1.7	5.4	22.5	116.2	541.2	557	3215.1	9007.8
Брестская область	Ляховичский	9.2	11.848	3.6	18.92	35.041	535.5	414	5416.5	15979.6
Брестская область	Малоритский	-5.8	-18.252	4.3	38.206	119.203	508	311	2319.3	5010.8
Минская область	Минская область	8.6	866.3	378.3	5392.9	6391.3	723.7	114662	4347940.9	5252438.9
Минская область	Минский	7.6	287.6	106.2	1442	1632.4	879.1	33189	2780284.3	1354839.1
Витебская область	Миорский	2.1	-7.287	3.5	18.553	100.585	457	865	842.6	1632.5
Могилевская область	Могилевская область	5.1	19.2	242.2	2215.7	3795.3	612.6	31434	1111168.4	1799679.7
Могилевская область	Могилевский	14.1	112	4.5	92.9	260.2	620.8	1554	133866.5	250143.4
Гомельская область	Мозырский	5.2	246.218	33.6	414.183	521.258	728.1	16393	1682663.6	155092.2
Минская область	Молодечненский	5.5	18.7	32.7	206.8	282.7	615	2442	106240.8	164009
Гродненская область	Мостовский	0.5	-15.3	5	12.6	63.5	503.8	0	4325.7	12506.4
Могилевская область	Мстиславский	2.7	3.1	4.1	10.8	83.1	474.6	291	14.7	1014.9
Минская область	Мядельский	0.5	0.1	4.8	15	59.4	566.1	246	14434.7	4855.8
